Offset: 0x00000140 | Value: 0x00007FFD6B540000
Offset: 0x00064330 | Value: 0x00007FFD6B5416BD
Offset: 0x00064340 | Value: 0x00007FFD6B58FB20
Offset: 0x00064350 | Value: 0x00007FFD6B541EE2
Offset: 0x00064680 | Value: 0x00007FFD6B54146F
Offset: 0x00064690 | Value: 0x00007FFD6B54249B
Offset: 0x000647A0 | Value: 0x00007FFD6B542A9A
Offset: 0x00064CF8 | Value: 0x00007FFD6B5B9EB0
Offset: 0x00064D00 | Value: 0x00007FFD6B5B9F50
Offset: 0x00064D10 | Value: 0x00007FFD6B5A4D38
Offset: 0x00064D18 | Value: 0x00007FFD6B5A4D50
Offset: 0x00064D20 | Value: 0x00007FFD6B5A4D98
Offset: 0x00064D28 | Value: 0x00007FFD6B5A4DE0
Offset: 0x00064F20 | Value: 0x00007FFD6B5A52E0
Offset: 0x00064F28 | Value: 0x00007FFD6B5A52F0
Offset: 0x00064F30 | Value: 0x00007FFD6B5A5300
Offset: 0x00064F38 | Value: 0x00007FFD6B5A5310
Offset: 0x00064F40 | Value: 0x00007FFD6B5A5320
Offset: 0x00064F48 | Value: 0x00007FFD6B5A5330
Offset: 0x00064F50 | Value: 0x00007FFD6B5A5340
Offset: 0x00064F58 | Value: 0x00007FFD6B5A5350
Offset: 0x00064F60 | Value: 0x00007FFD6B5A535C
Offset: 0x00064F68 | Value: 0x00007FFD6B5A5368
Offset: 0x00064F70 | Value: 0x00007FFD6B5A5378
Offset: 0x00064F78 | Value: 0x00007FFD6B5A5388
Offset: 0x00064F80 | Value: 0x00007FFD6B5A5398
Offset: 0x00064F88 | Value: 0x00007FFD6B5A53A4
Offset: 0x00064F90 | Value: 0x00007FFD6B5A53A8
Offset: 0x00064F98 | Value: 0x00007FFD6B5A53B0
Offset: 0x00064FA0 | Value: 0x00007FFD6B5A53BC
Offset: 0x00064FA8 | Value: 0x00007FFD6B5A53C0
Offset: 0x00064FB0 | Value: 0x00007FFD6B5A53C4
Offset: 0x00064FB8 | Value: 0x00007FFD6B5A53C8
Offset: 0x00064FC0 | Value: 0x00007FFD6B5A53CC
Offset: 0x00064FC8 | Value: 0x00007FFD6B5A53D0
Offset: 0x00064FD0 | Value: 0x00007FFD6B5A53D4
Offset: 0x00064FD8 | Value: 0x00007FFD6B5A53D8
Offset: 0x00064FE0 | Value: 0x00007FFD6B5A53E4
Offset: 0x00064FE8 | Value: 0x00007FFD6B5A53E8
Offset: 0x00064FF0 | Value: 0x00007FFD6B5A53EC
Offset: 0x00064FF8 | Value: 0x00007FFD6B5A53F0
Offset: 0x00065000 | Value: 0x00007FFD6B5A53F4
Offset: 0x00065008 | Value: 0x00007FFD6B5A53F8
Offset: 0x00065010 | Value: 0x00007FFD6B5A53FC
Offset: 0x00065018 | Value: 0x00007FFD6B5A5400
Offset: 0x00065020 | Value: 0x00007FFD6B5A5404
Offset: 0x00065028 | Value: 0x00007FFD6B5A5408
Offset: 0x00065030 | Value: 0x00007FFD6B5A540C
Offset: 0x00065038 | Value: 0x00007FFD6B5A5410
Offset: 0x00065040 | Value: 0x00007FFD6B5A5414
Offset: 0x00065048 | Value: 0x00007FFD6B5A5418
Offset: 0x00065050 | Value: 0x00007FFD6B5A541C
Offset: 0x00065058 | Value: 0x00007FFD6B5A5420
Offset: 0x00065060 | Value: 0x00007FFD6B5A5424
Offset: 0x00065068 | Value: 0x00007FFD6B5A5428
Offset: 0x00065070 | Value: 0x00007FFD6B5A542C
Offset: 0x00065078 | Value: 0x00007FFD6B5A5430
Offset: 0x00065080 | Value: 0x00007FFD6B5A5434
Offset: 0x00065088 | Value: 0x00007FFD6B5A5438
Offset: 0x00065090 | Value: 0x00007FFD6B5A543C
Offset: 0x00065098 | Value: 0x00007FFD6B5A5440
Offset: 0x000650A0 | Value: 0x00007FFD6B5A5444
Offset: 0x000650A8 | Value: 0x00007FFD6B5A5448
Offset: 0x000650B0 | Value: 0x00007FFD6B5A544C
Offset: 0x000650B8 | Value: 0x00007FFD6B5A5450
Offset: 0x000650C0 | Value: 0x00007FFD6B5A5454
Offset: 0x000650C8 | Value: 0x00007FFD6B5A5458
Offset: 0x000650D0 | Value: 0x00007FFD6B5A545C
Offset: 0x000650D8 | Value: 0x00007FFD6B5A5460
Offset: 0x000650E0 | Value: 0x00007FFD6B5A5470
