Offset: 0x00081000 | Value: 0x00007FFDA1FC4A00
Offset: 0x00081008 | Value: 0x00007FFDA1FBD630
Offset: 0x00081010 | Value: 0x00007FFDA1FA1010
Offset: 0x00081018 | Value: 0x00007FFDA1FDE0B0
Offset: 0x00081020 | Value: 0x00007FFDA1FC0140
Offset: 0x00081028 | Value: 0x00007FFDA1FC4BC0
Offset: 0x00081030 | Value: 0x00007FFDA1FC0AA0
Offset: 0x00081038 | Value: 0x00007FFDA1FBDE80
Offset: 0x00081040 | Value: 0x00007FFDA1FB5F50
Offset: 0x00081048 | Value: 0x00007FFDA1FC4BD0
Offset: 0x00081050 | Value: 0x00007FFDA1FB5890
Offset: 0x00081058 | Value: 0x00007FFDA1FB7EC0
Offset: 0x00081060 | Value: 0x00007FFDA2D1FBA0
Offset: 0x00081068 | Value: 0x00007FFDA1FC04F0
Offset: 0x00081070 | Value: 0x00007FFDA1FBDB70
Offset: 0x00081078 | Value: 0x00007FFDA1FBD470
Offset: 0x00081080 | Value: 0x00007FFDA1FBFD30
Offset: 0x00081088 | Value: 0x00007FFDA2D1B420
Offset: 0x00081090 | Value: 0x00007FFDA2D211B0
Offset: 0x00081098 | Value: 0x00007FFDA1FB5F30
Offset: 0x000810A0 | Value: 0x00007FFDA1FB5FF0
Offset: 0x000810A8 | Value: 0x00007FFDA2CDFAA0
Offset: 0x000810B0 | Value: 0x00007FFDA2CDF230
Offset: 0x000810B8 | Value: 0x00007FFDA2CC0FC0
Offset: 0x000810C0 | Value: 0x00007FFDA1FC4D20
Offset: 0x000810C8 | Value: 0x00007FFDA1FBCB70
Offset: 0x000810D0 | Value: 0x00007FFDA1FB5880
Offset: 0x000810D8 | Value: 0x00007FFDA1FB5ED0
Offset: 0x000810E0 | Value: 0x00007FFDA1FBD6C0
Offset: 0x000810E8 | Value: 0x00007FFDA1FBCB10
Offset: 0x000810F0 | Value: 0x00007FFDA1FBB200
Offset: 0x000810F8 | Value: 0x00007FFDA1FBB100
Offset: 0x00081100 | Value: 0x00007FFDA1FBE3E0
Offset: 0x00081108 | Value: 0x00007FFDA1FBF970
Offset: 0x00081110 | Value: 0x00007FFDA1FBF4E0
Offset: 0x00081118 | Value: 0x00007FFDA1FBE260
Offset: 0x00081120 | Value: 0x00007FFDA1FB5B50
Offset: 0x00081128 | Value: 0x00007FFDA1FB5E70
Offset: 0x00081130 | Value: 0x00007FFDA1FB58B0
Offset: 0x00081138 | Value: 0x00007FFDA2CDA9A0
Offset: 0x00081140 | Value: 0x00007FFDA1FB5BE0
